127.0.0.1 - - [02/Apr/2018:00:04:00 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:01 -0300] "GET /angularjs_spring_mvc/inicialEquipamento.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:01 -0300] "GET /angularjs_spring_mvc/publico/login.html HTTP/1.1" 200 5021
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:02 -0300] "GET /angularjs_spring_mvc/resources/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:02 -0300] "GET /angularjs_spring_mvc/resources/js/bootstrap-notify.js HTTP/1.1" 200 13213
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:02 -0300] "GET /angularjs_spring_mvc/resources/js/bootstrap-checkbox-radio.js HTTP/1.1" 200 6978
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:02 -0300] "GET /angularjs_spring_mvc/resources/js/demo.js HTTP/1.1" 200 5249
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:02 -0300] "GET /angularjs_spring_mvc/resources/css/demo.css HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:02 -0300] "GET /angularjs_spring_mvc/resources/js/chartist.min.js HTTP/1.1" 200 36026
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:02 -0300] "GET /angularjs_spring_mvc/resources/css/animate.min.css HTTP/1.1" 200 55523
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:02 -0300] "GET /angularjs_spring_mvc/resources/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:02 -0300] "GET /angularjs_spring_mvc/resources/css/paper-dashboard.css HTTP/1.1" 200 90171
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:02 -0300] "GET /angularjs_spring_mvc/resources/css/font-awesome.min.css HTTP/1.1" 200 31002
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:02 -0300] "GET /angularjs_spring_mvc/resources/js/jquery.mask.js HTTP/1.1" 200 15705
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:02 -0300] "GET /angularjs_spring_mvc/resources/css/jquery-ui.css HTTP/1.1" 200 37326
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:02 -0300] "GET /angularjs_spring_mvc/resources/js/jquery.maskMoney.js HTTP/1.1" 200 5070
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:02 -0300] "GET /angularjs_spring_mvc/resources/js/jquery-1.10.2.js HTTP/1.1" 200 273198
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:02 -0300] "GET /angularjs_spring_mvc/resources/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:02 -0300] "GET /angularjs_spring_mvc/resources/css/themify-icons.css HTTP/1.1" 200 16454
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:02 -0300] "GET /angularjs_spring_mvc/resources/js/jquery.mask.min.js HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:39 -0300] "GET /angularjs_spring_mvc/publico/login.html HTTP/1.1" 200 4930
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:39 -0300] "GET /angularjs_spring_mvc/resources/js/bootstrap-checkbox-radio.js HTTP/1.1" 200 6978
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:39 -0300] "GET /angularjs_spring_mvc/resources/js/jquery-1.10.2.js HTTP/1.1" 200 273198
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:39 -0300] "GET /angularjs_spring_mvc/resources/js/bootstrap-notify.js HTTP/1.1" 200 13213
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:39 -0300] "GET /angularjs_spring_mvc/resources/js/chartist.min.js HTTP/1.1" 200 36026
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:39 -0300] "GET /angularjs_spring_mvc/resources/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:39 -0300] "GET /angularjs_spring_mvc/resources/css/animate.min.css HTTP/1.1" 200 55523
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:39 -0300] "GET /angularjs_spring_mvc/resources/js/demo.js HTTP/1.1" 200 5249
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:39 -0300] "GET /angularjs_spring_mvc/resources/css/demo.css HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:39 -0300] "GET /angularjs_spring_mvc/resources/css/themify-icons.css HTTP/1.1" 200 16454
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:39 -0300] "GET /angularjs_spring_mvc/resources/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:40 -0300] "GET /angularjs_spring_mvc/resources/css/paper-dashboard.css HTTP/1.1" 200 90171
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:40 -0300] "GET /angularjs_spring_mvc/resources/css/jquery-ui.css HTTP/1.1" 200 37326
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:40 -0300] "GET /angularjs_spring_mvc/resources/css/font-awesome.min.css HTTP/1.1" 200 31002
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:40 -0300] "GET /angularjs_spring_mvc/resources/js/jquery.mask.js HTTP/1.1" 200 15705
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:40 -0300] "GET /angularjs_spring_mvc/resources/js/jquery.mask.min.js HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:40 -0300] "GET /angularjs_spring_mvc/resources/js/jquery.maskMoney.js HTTP/1.1" 200 5070
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:40 -0300] "GET /angularjs_spring_mvc/resources/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:53 -0300] "POST /angularjs_spring_mvc/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:53 -0300] "GET /angularjs_spring_mvc/inicial.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:55 -0300] "GET /angularjs_spring_mvc/agenda/autenticar HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:55 -0300] "GET /angularjs_spring_mvc/inicialEquipamento.html HTTP/1.1" 200 4235
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:56 -0300] "GET /angularjs_spring_mvc/equipamento/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:04:56 -0300] "GET /angularjs_spring_mvc/equipamento/listar HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:03 -0300] "GET /angularjs_spring_mvc/equipamento/cadastro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:03 -0300] "GET /angularjs_spring_mvc/fabricante/listar HTTP/1.1" 200 94
