127.0.0.1 - - [05/Aug/2018:22:23:30 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:42 -0300] "GET /angularjs_spring_mvc/inicialEquipamento.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:43 -0300] "GET /angularjs_spring_mvc/publico/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:43 -0300] "GET /angularjs_spring_mvc/resources/js/bootstrap-checkbox-radio.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:43 -0300] "GET /angularjs_spring_mvc/resources/js/jquery.mask.min.js HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:43 -0300] "GET /angularjs_spring_mvc/resources/js/bootstrap-notify.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:43 -0300] "GET /angularjs_spring_mvc/resources/js/jquery-1.10.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:43 -0300] "GET /angularjs_spring_mvc/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:43 -0300] "GET /angularjs_spring_mvc/resources/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:43 -0300] "GET /angularjs_spring_mvc/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:43 -0300] "GET /angularjs_spring_mvc/resources/js/chartist.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:43 -0300] "GET /angularjs_spring_mvc/resources/css/demo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:43 -0300] "GET /angularjs_spring_mvc/resources/js/demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:44 -0300] "GET /angularjs_spring_mvc/resources/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:44 -0300] "GET /angularjs_spring_mvc/resources/css/themify-icons.css HTTP/1.1" 200 16454
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:44 -0300] "GET /angularjs_spring_mvc/resources/js/jquery.mask.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:44 -0300] "GET /angularjs_spring_mvc/resources/css/paper-dashboard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:44 -0300] "GET /angularjs_spring_mvc/resources/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:44 -0300] "GET /angularjs_spring_mvc/resources/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:44 -0300] "GET /angularjs_spring_mvc/resources/js/jquery.maskMoney.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:44 -0300] "GET /angularjs_spring_mvc/resources/js/chartist.min.js.map HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:57 -0300] "POST /angularjs_spring_mvc/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:57 -0300] "GET /angularjs_spring_mvc/inicial.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:57 -0300] "GET /angularjs_spring_mvc/resources/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:57 -0300] "GET /angularjs_spring_mvc/resources/js/angular-resource.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:57 -0300] "GET /angularjs_spring_mvc/resources/js/angular-animate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:58 -0300] "GET /angularjs_spring_mvc/resources/js/angular-locale_pt-br.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:58 -0300] "GET /angularjs_spring_mvc/resources/js/app2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:58 -0300] "GET /angularjs_spring_mvc/resources/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:58 -0300] "GET /angularjs_spring_mvc/resources/js/angular.min.js.map HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:59 -0300] "GET /angularjs_spring_mvc/agenda/autenticar HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:59 -0300] "GET /angularjs_spring_mvc/inicialEquipamento.html HTTP/1.1" 200 6836
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:59 -0300] "GET /angularjs_spring_mvc/resources/js/agendaController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:59 -0300] "GET /angularjs_spring_mvc/resources/js/areaController.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:40:59 -0300] "GET /angularjs_spring_mvc/resources/js/insumoController.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:41:00 -0300] "GET /angularjs_spring_mvc/resources/js/instrumentoController.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:41:00 -0300] "GET /angularjs_spring_mvc/resources/js/tipoequipamentoController.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:41:00 -0300] "GET /angularjs_spring_mvc/resources/js/tiporotinaController.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:41:00 -0300] "GET /angularjs_spring_mvc/resources/js/tipoareaController.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:41:00 -0300] "GET /angularjs_spring_mvc/resources/js/contratanteController.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:41:00 -0300] "GET /angularjs_spring_mvc/resources/js/fabricanteController.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:41:00 -0300] "GET /angularjs_spring_mvc/resources/js/rotinaController.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Aug/2018:22:41:00 -0300] "GET /angularjs_spring_mvc/resources/js/dirPagination.js HTTP/1.1" 304 -
